Region,SiteID,SiteNum,I.E,TransectID,Management Condition,LAT,LON
GV,GV11,11,I,GV11I,Unthinned,29.50291667,-82.31333333
GV,GV12,12,E,GV12E,"Clear cut, debris left",29.69586111,-82.52277778
GV,GV12,12,I,GV12I,"Clear cut, debris left",29.69630556,-82.52005556
GV,GV13,13,E,GV13E,Thinned,29.72513889,-82.41775
GV,GV13,13,I,GV13I,Thinned,29.73219444,-82.42044444
GV,GV14,14,E,GV14E,Thinned,29.53688889,-82.22186111
GV,GV14,14,I,GV14I,Thinned,29.53602778,-82.22322222
GV,GV15,15,E,GV15E,Unthinned,29.5525,-82.221
GV,GV15,15,I,GV15I,Unthinned,29.55013889,-82.22202778
GV,GV16,16,E,GV16E,Reference,29.69208333,-82.01205556
GV,GV16,16,I,GV16I,Reference,29.69272222,-82.00994444
GV,GV17,17,E,GV17E,Reference,29.69352778,-81.91508333
GV,GV17,17,I,GV17I,Reference,29.69191667,-81.96986111
GV,GV18,18,E,GV18E,Reference,29.43125,-81.79244444
GV,GV18,18,I,GV18I,Reference,29.43144444,-81.79533333
GV,GV19,19,E,GV19E,Old,29.24802778,-81.94869444
GV,GV19,19,I,GV19I,Old,29.25133333,-81.94786111
GV,GV2,2,E,GV2E,"Clear cut, residues removed",29.73344444,-82.64625
GV,GV2,2,I,GV2I,"Clear cut, residues removed",29.73194444,-82.6445
GV,GV20,20,E,GV20E,Old,29.31738889,-82.32402778
GV,GV20,20,I,GV20I,Old,29.31636111,-82.32713889
GV,GV21,21,E,GV21E,Thinned,29.32972222,-82.32413889
GV,GV21,21,I,GV21I,Thinned,29.32391667,-82.33108333
GV,GV22,22,E,GV22E,Thinned,29.33075,-82.35516667
GV,GV22,22,I,GV22I,Thinned,29.33452778,-82.35330556
GV,GV23,23,E,GV23E,Unthinned,29.33166667,-82.343
GV,GV23,23,I,GV23I,Unthinned,29.33319444,-82.34525
GV,GV24,24,E,GV24E,Unthinned,29.83922222,-82.25405556
GV,GV24,24,I,GV24I,Unthinned,29.84008333,-82.25455556
GV,GV25,25,E,GV25E,"Clear cut, debris left",29.77891667,-82.58119444
GV,GV25,25,I,GV25I,"Clear cut, debris left",29.78197222,-82.58216667
GV,GV26,26,E,GV26E,"Clear cut, debris left",29.79113889,-82.58219444
GV,GV26,26,I,GV26I,"Clear cut, debris left",29.79252778,-82.57908333
GV,GV27,27,E,GV27E,Corn,29.87770556,-82.45113889
GV,GV27,27,I,GV27I,Corn,29.87836111,-82.44805556
GV,GV28,28,E,GV28E,Corn,29.89769444,-82.40766667
GV,GV28,28,I,GV28I,Corn,29.90025,-82.40897222
GV,GV3,3,E,GV3E,Thinned,29.74616667,-82.62644444
GV,GV3,3,I,GV3I,Thinned,29.74316667,-82.63591667
GV,GV4,4,E,GV4E,"Clear cut, residues removed",29.69847222,-82.65747222
GV,GV4,4,I,GV4I,"Clear cut, residues removed",29.06880556,-82.65988889
GV,GV5,5,E,GV5E,"Clear cut, residues removed",29.73847222,-82.68297222
GV,GV5,5,I,GV5I,"Clear cut, residues removed",29.73869444,-82.68513889
GV,GV6,6,E,GV6E,"Clear cut, debris left",30.12611111,-82.89544444
GV,GV6,6,I,GV6I,"Clear cut, debris left",30.12577778,-82.8915
GV,GV7,7,E,GV7E,Young,29.9524,-82.73555556
GV,GV7,7,I,GV7I,Young,29.9505,-82.74630556
GV,GV8,8,E,GV8E,Young,29.81266667,-82.68197222
GV,GV8,8,I,GV8I,Young,29.81161111,-82.68022222
GV,GV9,9,E,GV9E,Young,29.8005,-82.66752778
GV,GV9,9,I,GV9I,Young,29.80152778,-82.67052778
JC,JC1,1,E,JC1E,Reference,31.26054167,-84.38237778
JC,JC1,1,I,JC1I,Reference,31.25693333,-84.38242222
JC,JC10,10,E,JC10E,"Clear cut, debris left",31.20238056,-84.326975
JC,JC10,10,I,JC10I,"Clear cut, debris left",31.20413056,-84.32475278
JC,JC11,11,E,JC11E,Young,31.19118333,-84.328575
JC,JC11,11,I,JC11I,Young,31.18966944,-84.32531389
JC,JC12,12,E,JC12E,Young,31.18205278,-84.32859167
JC,JC12,12,I,JC12I,Young,31.18117222,-84.32540833
JC,JC13,13,E,JC13E,Thinned,31.17102778,-84.32844444
JC,JC13,13,I,JC13I,Thinned,31.17516667,-84.32666667
JC,JC14,14,E,JC14E,Thinned,31.13327778,-84.24627778
JC,JC15,15,I,JC15I,Thinned,31.11947222,-84.24738889
JC,JC2,2,E,JC2E,Reference,31.24998611,-84.40354722
JC,JC2,2,I,JC2I,Reference,31.24638611,-84.40530556
JC,JC3,3,E,JC3E,Reference,31.23849167,-84.48098611
JC,JC3,3,I,JC3I,Reference,31.23930278,-84.48513889
JC,JC4,4,E,JC4E,"Clear cut, residues removed",31.30228333,-84.32506111
JC,JC4,4,I,JC4I,"Clear cut, residues removed",31.30478333,-84.32776111
JC,JC5,5,E,JC5E,Old,31.27505,-84.28411389
JC,JC5,5,I,JC5I,Old,31.28018889,-84.28070556
JC,JC6,6,E,JC6E,Old,31.28637222,-84.28759167
JC,JC6,6,I,JC6I,Old,31.28531389,-84.28605278
JC,JC7,7,E,JC7E,Old,31.22223611,-84.37833333
JC,JC7,7,I,JC7I,Old,31.22155556,-84.38341667
JC,JC8,8,E,JC8E,Corn,31.28010833,-84.29244722
JC,JC8,8,I,JC8I,Corn,31.27878889,-84.29487778
JC,JC9,9,E,JC9E,Corn,31.2596,-84.31084722
JC,JC9,9,I,JC9I,Corn,31.25754722,-84.30825278
TT,TT10,10,E,TT10E,"Clear cut, residues removed",30.5316,-84.90778056
TT,TT10,10,I,TT10I,"Clear cut, residues removed",30.53151389,-84.9019
TT,TT11,11,E,TT11E,Old,30.14311111,-84.33313889
TT,TT11,11,I,TT11I,Old,30.14205278,-84.33219167
TT,TT12,12,E,TT12E,Unthinned,30.23755556,-84.00397222
TT,TT12,12,I,TT12I,Unthinned,30.23989444,-84.00427222
TT,TT13,13,E,TT13E,Unthinned,30.23918333,-84.03376389
TT,TT13,13,I,TT13I,Unthinned,30.24130556,-84.03291389
TT,TT15,15,E,TT15E,Corn,30.83747222,-84.276925
TT,TT15,15,I,TT15I,Corn,30.83886111,-84.27676667
TT,TT16,16,E,TT16E,Reference,30.75855556,-83.99583333
TT,TT16,16,I,TT16I,Reference,30.75947222,-83.99811111
TT,TT2,2,E,TT2E,Young,30.825275,-84.69216944
TT,TT2,2,I,TT2I,Young,30.82335,-84.69168611
TT,TT3,3,E,TT3E,Unthinned,30.81741389,-84.69138611
TT,TT3,3,I,TT3I,Unthinned,30.8165,-84.69220833
TT,TT4,4,E,TT4E,"Clear cut, debris left",30.80150278,-84.66532778
TT,TT4,4,I,TT4I,"Clear cut, debris left",30.80050278,-84.66916389
TT,TT5,5,E,TT5E,Old,30.851575,-84.06406111
TT,TT5,5,I,TT5I,Old,30.85519167,-84.06678056
TT,TT6,6,E,TT6E,Old,30.8387,-84.07908333
TT,TT6,6,I,TT6I,Old,30.83969444,-84.07566667
TT,TT7,7,E,TT7E,Thinned,30.79643056,-84.68689167
TT,TT7,7,I,TT7I,Thinned,30.79697222,-84.68218889
TT,TT8,8,E,TT8E,"Clear cut, debris left",30.24048056,-84.2344
TT,TT8,8,I,TT8I,"Clear cut, debris left",30.23921111,-84.23512778
TT,TT9,9,E,TT9E,"Clear cut, residues removed",30.52408333,-84.91177778
TT,TT9,9,I,TT9I,"Clear cut, residues removed",30.52455556,-84.90683333
